,pointA_latitude,pointA_longitude,pointB_latitude,pointB_longitude,path_segment_ID,sub_segment_length
6952,-35.25593417359634,149.11003762976387,-35.25594431725007,149.11003231327274,r3dp3jfe79w8spbbjr3dp3jfe5xdsjpmw8,1.226883857306972
6953,-35.25594431725007,149.11003231327274,-35.255956129659474,149.11002529575347,r3dp3jfe5xdsjpmw8r3dp3jfe5mmmv8x7c,1.4598764888956286
6954,-35.255956129659474,149.11002529575347,-35.255989944747874,149.11000407636715,r3dp3jfe5mmmv8x7cr3dp3jfdfzjs53tpz,4.224964551554238
6955,-35.255989944747874,149.11000407636715,-35.256002884329654,149.1099963460327,r3dp3jfdfzjs53tpzr3dp3jfdfsxyfgwxx,1.6008970488095122
6956,-35.256002884329654,149.1099963460327,-35.256193989638085,149.10984324866143,r3dp3jfdfsxyfgwxxr3dp3jf3z1jdvujk2,25.392964520654974
6958,-35.2564109643873,149.10968611693644,-35.2565535808404,149.10958789719112,r3dp3jf2e88s8d7kkr3dp3jdr9np3bfxwp,18.193923121951272
6983,-35.25691637424576,149.1095463147082,-35.25696366343643,149.1095791164039,r3dp3jdm862m8vcrtr3dp3jdm318ex7p4t,6.043216928049126
6984,-35.25696366343643,149.1095791164039,-35.256980011392905,149.1095911681218,r3dp3jdm318ex7p4tr3dp3jdm1q9dp43nx,2.1217631841883025
6985,-35.256980011392905,149.1095911681218,-35.2569890180599,149.1095983761936,r3dp3jdm1q9dp43nxr3dp3jdm1kzh750yq,1.1963866906336074
6986,-35.2569890180599,149.1095983761936,-35.25701432347039,149.1096226353821,r3dp3jdm1kzh750yqr3dp3jdm401jmusnf,3.573449544589474
7015,-35.2031044063212,149.0377260843992,-35.20308862910547,149.03774721648114,r39zxrmzn9xnx6e1kr39zxrmzphwuxw4wc,2.6008222111113564
7016,-35.20308862910547,149.03774721648114,-35.203069471689034,149.0377701591683,r39zxrmzphwuxw4wcr39zxrmzrb0ngp07v,2.980456966964635
7017,-35.203069471689034,149.0377701591683,-35.20305590403709,149.03778508799115,r39zxrmzrb0ngp07vr39zxrqp24epzjp2d,2.028769142703738
7018,-35.20305590403709,149.03778508799115,-35.203042426626375,149.0377995227157,r39zxrqp24epzjp2dr39zxrqp2mmbr9svy,1.9914708612882932
7019,-35.203042426626375,149.0377995227157,-35.20300803474077,149.03783503278368,r39zxrqp2mmbr9svyr39zxrqp978mqywtm,5.003423116216224
7024,-35.203419387408616,149.03720170558262,-35.203409244625945,149.0372168004432,r39zxrmt4wbpxhtg6r39zxrmt6bgkpkex8,1.7756676878550197
7025,-35.203409244625945,149.0372168004432,-35.20339121353601,149.0372413359166,r39zxrmt6bgkpkex8r39zxrmt7kjz8y9sd,2.998245843989142
7026,-35.20339121353601,149.0372413359166,-35.203349516933315,149.0372967187407,r39zxrmt7kjz8y9sdr39zxrmtssp06q105,6.842350174119429
7044,-35.201964458311515,149.0393017602885,-35.2019700924592,149.03929693097874,r39zxrxjeqnnskq16r39zxrxjem4t10y9u,0.7648701430056638
7045,-35.2019700924592,149.03929693097874,-35.201981360144664,149.03928974294877,r39zxrxjem4t10y9ur39zxrxje5j1v9ynr,1.4129150524071907
7046,-35.201981360144664,149.03928974294877,-35.20199826134035,149.03928030600028,r39zxrxje5j1v9ynrr39zxrxj6zyhux8xh,2.0656907732701364
7148,-35.342118080914354,149.08780699434894,-35.342061506875005,149.08783850768606,r3dnbw4mjxwm8qsyzr3dnbw4mw6jz0mfzx,6.9096816125539124
7152,-35.3418047408969,149.0879069500262,-35.34153915619172,149.08774731463262,r3dnbw4x040fc7qhkr3dnbw62s79g0kht3,32.890358941627376
7181,-35.29947667996141,149.1214639691787,-35.29950577012928,149.12148605135764,r3dp1mfvtuwex47kmr3dp1mfvqrpnn12mb,3.8051383278178816
7182,-35.29950577012928,149.12148605135764,-35.29956074583304,149.1215357630817,r3dp1mfvqrpnn12mbr3dp1mfvpsuq05m8s,7.597471996307752
7188,-35.29993144464421,149.12162087052093,-35.300012780434784,149.1216238961857,r3dp1mg4cxgdyct2sr3dp1mg498tvx5e9k,9.048294443223668
7189,-35.300012780434784,149.1216238961857,-35.30009410263607,149.1216415433538,r3dp1mg498tvx5e9kr3dp1mg441e0s0nhu,9.18333624630796
